# Rocha-Lima et al. (2018) ACP 18, 1023-1043, Fig. 10.
# Imaginary refractive index of Saharan dust, digitised from
# the published figure -- the paper tabulates no k anywhere,
# and its data are available only on request from the author.
# Real part is an ASSUMED constant 1.56 in that paper, not a
# retrieval. Accuracy about +/-0.0005 in k; validated against
# the four values the text states. Regenerate with --digitize.
panel,series,wavelength_nm,k
algeria,fine_mie,590.2,0.001451
algeria,fine_mie,594.9,0.001375
algeria,fine_mie,599.5,0.001375
algeria,fine_mie,604.2,0.001375
algeria,fine_mie,608.8,0.001375
algeria,fine_mie,613.5,0.001298
algeria,fine_mie,618.2,0.001298
algeria,fine_mie,622.8,0.001298
algeria,fine_mie,627.5,0.001298
algeria,fine_mie,632.1,0.001298
algeria,fine_mie,636.8,0.001356
algeria,fine_mie,641.5,0.001451
algeria,fine_mie,664.8,0.001107
algeria,fine_mie,669.4,0.001107
algeria,fine_mie,674.1,0.001107
algeria,fine_mie,678.7,0.001107
algeria,fine_mie,683.4,0.001107
algeria,fine_mie,758.0,0.00168
algeria,fine_mie,762.6,0.00168
algeria,fine_mie,767.3,0.001585
algeria,fine_mie,790.6,0.001184
algeria,fine_mie,795.2,0.001107
algeria,fine_mie,799.9,0.001107
algeria,fine_mie,804.6,0.001107
algeria,fine_mie,809.2,0.001107
algeria,fine_mie,813.9,0.001107
algeria,fine_mie,818.5,0.001184
algeria,fine_mie,823.2,0.001298
algeria,fine_mie,827.9,0.001298
algeria,fine_mie,832.5,0.001298
algeria,fine_mie,837.2,0.001298
algeria,fine_mie,841.8,0.001298
algeria,fine_mie,846.5,0.001298
algeria,fine_mie,851.2,0.001337
algeria,fine_mie,855.8,0.001337
algeria,fine_mie,860.5,0.001337
algeria,fine_mie,865.1,0.001317
algeria,fine_mie,869.8,0.001317
algeria,fine_mie,874.5,0.001337
algeria,fine_mie,879.1,0.001337
algeria,fine_mie,883.8,0.001337
algeria,fine_mie,888.4,0.001317
algeria,fine_mie,893.1,0.001337
algeria,fine_mie,897.8,0.001394
algeria,fine_mie,902.4,0.001337
algeria,fine_mie,907.1,0.001337
algeria,fine_mie,911.7,0.001337
algeria,fine_mie,916.4,0.001451
algeria,fine_mie,921.1,0.00147
algeria,fine_mie,925.7,0.00147
algeria,fine_mie,930.4,0.00147
algeria,fine_mie,935.0,0.00147
algeria,fine_mie,939.7,0.001432
algeria,fine_mie,944.4,0.001413
algeria,fine_mie,949.0,0.001604
algeria,fine_mie,953.7,0.001527
algeria,fine_mie,958.3,0.001527
algeria,fine_mie,963.0,0.001642
algeria,fine_mie,967.7,0.00168
algeria,fine_mie,972.3,0.00168
algeria,fine_mie,977.0,0.001833
algeria,fine_mie,981.7,0.001833
algeria,fine_mie,986.3,0.001833
algeria,fine_mie,991.0,0.001833
algeria,fine_mie,995.6,0.001833
algeria,fine_mie,1000.3,0.001833
algeria,fine_mie,1009.6,0.001833
algeria,fine_mie,1014.3,0.001852
algeria,fine_mie,1018.9,0.001947
algeria,fine_mie,1023.6,0.001871
algeria,fine_mie,1028.3,0.001871
algeria,fine_mie,1032.9,0.001871
algeria,fine_mie,1037.6,0.001852
algeria,fine_mie,1042.2,0.001833
algeria,fine_mie,1046.9,0.001833
algeria,fine_mie,1051.6,0.001795
algeria,fine_mie,1056.2,0.001776
algeria,fine_mie,1060.9,0.001795
algeria,fine_mie,1065.5,0.001776
algeria,fine_mie,1070.2,0.001795
algeria,fine_mie,1074.9,0.001871
algeria,fine_mie,1079.5,0.001871
algeria,fine_mie,1084.2,0.001871
algeria,fine_mie,1088.8,0.002024
algeria,fine_mie,1093.5,0.002024
algeria,fine_mie,1098.2,0.002043
algeria,fine_mie,1102.8,0.002043
algeria,fine_mie,1107.5,0.002043
algeria,fine_mie,1112.1,0.002768
algeria,fine_mie,1116.8,0.002959
algeria,fine_mie,1121.5,0.002998
algeria,fine_mie,1126.1,0.003017
algeria,fine_mie,1130.8,0.003017
algeria,fine_mie,1135.4,0.003017
algeria,fine_mie,1140.1,0.002959
algeria,fine_mie,1144.8,0.00294
algeria,fine_mie,1149.4,0.002578
algeria,fine_mie,1154.1,0.002711
algeria,fine_mie,1158.7,0.003036
algeria,fine_mie,1163.4,0.003246
algeria,fine_mie,1168.1,0.003246
algeria,fine_mie,1172.7,0.003265
algeria,fine_mie,1177.4,0.003284
algeria,fine_mie,1182.0,0.003284
algeria,fine_mie,1186.7,0.003265
algeria,fine_mie,1191.4,0.003246
algeria,fine_mie,1196.0,0.003227
algeria,fine_mie,1200.7,0.002597
algeria,fine_mie,1205.3,0.002597
