# Vesper carve verdict, first pass
#
# Produced from a converged ExoPlaSim climatology: T21,
# 0.945 S-Earth, vegetated land surface, glaciers enabled,
# 281.06 K, climatology baseline_regular_climatology.nc.
# Terrain 4884dc8a6120bf56, basin catalogue unchanged.
#
# A basin overflows when more water arrives than its lake surface can evaporate,
#     Q = runoff * (catchment - area_at_spill) - (E - P) * area_at_spill  >  0
# and retain is then what that Q can cut against how deep the basin is,
#     retain = 1 - 269.4 * erodibility * slope^1 * Q^0.5 / depth_at_spill
# in metres, where slope is the outlet channel's own gradient relative to the
# population's, and the coefficient is solved against the density of Earth's own
# standing through-flowing impounded basins rather than declared. Open-water
# evaporation is the Penman combination equation with water's albedo and
# roughness, validated against the model over ocean cells to within
# 15.1%.
# Catchment runoff is precipitation minus evaporation over the catchment; see the sidecar.
#
#   retain 1.0   4421 basins  closed: the lake surface evaporates all that arrives
#   retain 0<r<1   41 basins  a notch: the outlet is cut, but not to the floor
#   retain 0.0    195 basins  carved
#                               0 of them carried forward,  195 decided here
#
#   16 of the entries above hold no water at spill at all: the
# drainage conditioning took their rim down to their floor, and the catalogue
# publishes them as preserved anyway. 2 of them carve here, on the 1 m
# depth guard rather than on a water balance. notes/audits/basin-catalogue-floor.md.
#
# The counts above are of the whole 4657-entry catalogue. This pass could
# only decide the 4657 basins the current build still has; the rest were
# carved by an earlier pass and are held at 0 to keep the loop monotone.
#
# THE BASIS. retain here is a fraction of the depression's NATURAL spill depth,
# in the generator's dimensionless elevation parameter -- the depth
# buildBasinProtection spends (1 - retain) against, and the only depth that
# exists when protection is built. The incision above is a LENGTH in metres
# against the FINISHED depression, so it is converted before it is written:
#     retain = 1 - (1 - retain_finished) * retainedFraction
# using this build's own natural-to-final ratio as the estimate of the next
# generation's. Both endpoints pass through exactly, and the sidecar carries
# the ratio's population spread as the bracket on that estimate.
#   17 entries had no ratio to convert with and are all at retain 0.
#
# Carved basins are listed explicitly at retain 0, so this file is the
# complete verdict.
#
# id                                    retain

orogen-basin-r3ci5c-fkhv67             1.0000
orogen-basin-r3i98k-1nvjhvj            1.0000
orogen-basin-r3027c-1vlv6qd            1.0000
orogen-basin-r5gv7z-niborr             1.0000
orogen-basin-r4wejj-1bdzm8             1.0000
orogen-basin-r3wgkj-1pt6mng            1.0000
orogen-basin-r3mckx-7p7alv             1.0000
orogen-basin-rejp5-11sgo9j             1.0000
orogen-basin-r4pmxy-14ax78f            1.0000
orogen-basin-r3iojy-1cydma7            1.0000
orogen-basin-r55wmg-rc3yks             1.0000
orogen-basin-r54y3-1fg5iao             1.0000
orogen-basin-r53zon-12foouf            1.0000
orogen-basin-r2q6fm-craue6             1.0000
orogen-basin-r2sima-1rmhh2t            1.0000
orogen-basin-r4ienr-1hb3ql0            1.0000
orogen-basin-r41zwo-108j9dq            1.0000
orogen-basin-r2jzy-1ffix3              1.0000
orogen-basin-r4xam3-1h3f6cn            1.0000
orogen-basin-rsm42-ntxe9q              1.0000
orogen-basin-r2hzz9-1lp3frb            1.0000
orogen-basin-r33yz6-1vds79r            1.0000
orogen-basin-r3lahi-5qf1qe             1.0000
orogen-basin-rpxba-hxwrq6              1.0000
orogen-basin-r3azod-iwqfte             1.0000
orogen-basin-r20npq-nnkcy3             1.0000
orogen-basin-r3b0v7-uwck5g             1.0000
orogen-basin-r2lacb-f5ozk              1.0000
orogen-basin-rn1wv-b2wmlk              1.0000
orogen-basin-r55wug-aykn74             1.0000
orogen-basin-r5ey03-1j0ezfl            1.0000
orogen-basin-r4yo6k-ldbn0m             1.0000
orogen-basin-r5ep9-1lagaxa             1.0000
orogen-basin-r3hie5-1xy517w            1.0000
orogen-basin-r39tvu-iomejf             1.0000
orogen-basin-r4n0s-1yskril             1.0000
orogen-basin-r18md-ve046b              1.0000
orogen-basin-r5f8an-14glely            1.0000
orogen-basin-r16ixz-18o5hjs            1.0000
orogen-basin-r2yeek-8dgb9k             1.0000
orogen-basin-rc7f2-19i6wrm             1.0000
