# Vesper carve verdict, first pass
#
# Produced from a converged ExoPlaSim climatology: T42,
# 0.945 S-Earth, vegetated land surface, glaciers enabled,
# 289.71 K, climatology baseline_regular_climatology.nc.
# Terrain e931b0d9947a2322, basin catalogue unchanged.
#
# A basin overflows when more water arrives than its lake surface can evaporate,
#     Q = runoff * (catchment - area_at_spill) - (E - P) * area_at_spill  >  0
# and retain is then what that Q can cut against how deep the basin is,
#     retain = 1 - 161 * erodibility * Q^0.5 / depth_at_spill
# in metres, with the coefficient calibrated against the density of Earth's own
# standing through-flowing impounded basins. Open-water evaporation is
# the Penman combination equation with water's albedo and roughness, validated
# against the model over ocean cells to within 4.2%.
# Catchment runoff is precipitation minus evaporation over the catchment; see the sidecar.
#
#   retain 1.0   2082 basins  closed: the lake surface evaporates all that arrives
#   retain 0<r<1   79 basins  a notch: the outlet is cut, but not to the floor
#   retain 0.0   1460 basins  carved
#                               0 of them carried forward, 1460 decided here
#
# The counts above are of the whole 3621-entry catalogue. This pass could
# only decide the 3621 basins the current build still has; the rest were
# carved by an earlier pass and are held at 0 to keep the loop monotone.
#
# Carved basins are listed explicitly at retain 0 rather than omitted, so this
# file is the complete verdict rather than a subset of it. If your parser would
# rather they were absent, say so and we will drop them.
#
# id                                    retain

orogen-basin-r1f21j-aw8y55             1.0000
orogen-basin-rwxep-dailn1              1.0000
orogen-basin-r1q8l-1gdmuyg             1.0000
orogen-basin-r9byo-11u05c8             1.0000
orogen-basin-rg55u-7k23k4              1.0000
orogen-basin-rxl58-1jafaen             1.0000
orogen-basin-rgkqj-2gv40               1.0000
orogen-basin-r10jga-157legd            1.0000
orogen-basin-rfkg2-n2no6v              1.0000
orogen-basin-rds4j-tx26b3              1.0000
orogen-basin-rqut9-snff0e              1.0000
orogen-basin-rg1c1-1mpa0te             1.0000
orogen-basin-r9ww8-5oz50a              1.0000
orogen-basin-r1d4c5-i6k14a             1.0000
orogen-basin-r18av-1hzwuom             1.0000
orogen-basin-routa-77scie              1.0000
orogen-basin-ro2ov-1xucs7y             1.0000
orogen-basin-r8y83-1qvmqvx             1.0000
orogen-basin-r4yzi-u0ehua              1.0000
orogen-basin-r18g0e-1mfmini            1.0000
orogen-basin-rrp39-1db5laa             1.0000
orogen-basin-r5ojk-p54w1g              1.0000
orogen-basin-rbhnc-2d4g5p              1.0000
orogen-basin-r5ldb-ueknfm              1.0000
orogen-basin-rq7es-50i5gb              1.0000
orogen-basin-rd643-1j9wwog             1.0000
orogen-basin-r8abu-9to9dq              1.0000
orogen-basin-r15sfx-14yhhi8            1.0000
orogen-basin-r1egd3-1dzvfbu            1.0000
orogen-basin-r9i5v-jdwywo              1.0000
orogen-basin-rdqcc-12vu9i6             1.0000
orogen-basin-r12cl2-crk05w             1.0000
orogen-basin-rhur-166nyo6              1.0000
orogen-basin-r1guz4-7cb1hg             1.0000
orogen-basin-r199ee-d5q2on             1.0000
orogen-basin-r2mw5-z4lmyr              1.0000
orogen-basin-rmebx-1e46aub             1.0000
orogen-basin-rtj4v-1p8h8bb             1.0000
orogen-basin-rraej-1wh5l2f             1.0000
orogen-basin-r17h8z-1m7xk8o            1.0000
orogen-basin-r1egb-fkwnrj              1.0000
orogen-basin-r17sdp-8wlt2h             1.0000
orogen-basin-r327d-1gusek9             1.0000
orogen-basin-rqbdi-420l2h              1.0000
orogen-basin-rcqhe-cmbgh5              1.0000
orogen-basin-rrd9n-1yqiq0v             1.0000
orogen-basin-rtqci-1feagob             1.0000
orogen-basin-r13n07-17kjw8v            1.0000
orogen-basin-r13r8c-19g4n1s            1.0000
orogen-basin-rgrpa-z9cem6              1.0000
orogen-basin-rdbgl-j3njww              1.0000
orogen-basin-rxjg0-ogq55k              1.0000
orogen-basin-rqvkb-m3n0e7              1.0000
orogen-basin-r17c0j-1rpj4lf            1.0000
orogen-basin-r1bqsb-1nkhzp2            1.0000
orogen-basin-r7c6o-cz1aw1              1.0000
orogen-basin-r1e75-1pydrl              1.0000
orogen-basin-r1apsm-22ua2e             1.0000
orogen-basin-r18lcp-15l063o            1.0000
orogen-basin-r9gal-sp53qk              1.0000
orogen-basin-r1hfn-sjy1g8              1.0000
orogen-basin-rbgxg-mbqqgu              1.0000
orogen-basin-rr24r-t0kral              1.0000
orogen-basin-rxuol-ztl69v              1.0000
orogen-basin-r4o6q-14pmdeh             1.0000
orogen-basin-reifj-hsa7c1              1.0000
orogen-basin-rn00j-1ujk6k4             1.0000
orogen-basin-rq7x9-125mdck             1.0000
orogen-basin-r6fde-orushg              1.0000
orogen-basin-r15ipm-y8l71k             1.0000
orogen-basin-r25xn-1ijmum5             1.0000
orogen-basin-r1cgm8-12jobje            1.0000
orogen-basin-r8fy3-18n2txb             1.0000
orogen-basin-r1axv2-1nn154h            1.0000
orogen-basin-rod93-1ty9l60             1.0000
orogen-basin-rw00p-15pm20n             1.0000
orogen-basin-r15o33-15l25xl            1.0000
orogen-basin-r4zf5-1phe46y             1.0000
orogen-basin-rteud-1alwaqf             1.0000
orogen-basin-rr32r-1xsmrxc             1.0000
orogen-basin-r5k9s-1mbqsyl             1.0000
orogen-basin-r1anyf-sw7ot2             1.0000
orogen-basin-r1j99-qe2j6e              1.0000
orogen-basin-rsxcc-1qvpqry             1.0000
orogen-basin-r18q88-aajsfe             1.0000
orogen-basin-r1a2nj-mdfc3t             1.0000
orogen-basin-roysg-1sy11fc             1.0000
orogen-basin-r1ahjg-ptcnkk             1.0000
orogen-basin-r1ek26-1g8keby            1.0000
orogen-basin-rvzo0-1nb8hnn             1.0000
orogen-basin-r1eks2-51gzde             1.0000
orogen-basin-rg20x-h1ldnj              1.0000
orogen-basin-r1eq6r-1gcmy8a            1.0000
orogen-basin-r19ebh-7x7g12             1.0000
orogen-basin-r6bow-smbp5w              1.0000
orogen-basin-remgm-1enx66d             1.0000
orogen-basin-rgz9x-1h8a9ku             1.0000
orogen-basin-r15kyw-1p6defb            1.0000
orogen-basin-r1edc0-k5ugh0             1.0000
orogen-basin-r1b91m-2ueaya             1.0000
orogen-basin-r17n3s-v0wovm             1.0000
orogen-basin-ritwn-y4m6ij              1.0000
orogen-basin-r15d3l-9fmwyo             1.0000
orogen-basin-r10j06-1mriu2h            1.0000
orogen-basin-rcts8-1lxk8zj             1.0000
orogen-basin-r14hxm-omtjlw             1.0000
orogen-basin-rmk1d-k11mpc              1.0000
orogen-basin-r1asgp-1of6ky3            1.0000
orogen-basin-r24oc-15n9ukn             1.0000
orogen-basin-rl7yx-12tlowh             1.0000
orogen-basin-re6a0-39g1a5              1.0000
orogen-basin-r18lv0-s9ko6b             1.0000
orogen-basin-r14r2c-oj4y91             1.0000
orogen-basin-rbde9-t3139o              1.0000
orogen-basin-rqdmo-5ropnw              1.0000
orogen-basin-r1bval-1290vdy            1.0000
orogen-basin-r144vq-1jfee29            1.0000
orogen-basin-r83tl-1dxc1x4             1.0000
orogen-basin-r72kl-1o3k341             1.0000
orogen-basin-ru3e6-1qpqp1x             1.0000
orogen-basin-ripxq-1wsv0hc             1.0000
orogen-basin-reh8-1n1qani              1.0000
orogen-basin-roi3-1016mud              1.0000
orogen-basin-r9ip2-11zw3h5             1.0000
orogen-basin-rqk1f-1uh78qe             1.0000
orogen-basin-r5rbh-1dnm1qk             1.0000
orogen-basin-reddp-1032in1             1.0000
orogen-basin-r141jz-d9ogo2             1.0000
orogen-basin-r19bd6-15yxwfx            1.0000
orogen-basin-rosp-nlcxvq               1.0000
orogen-basin-rss23-k1wp52              1.0000
orogen-basin-r13kg2-1hgvkbo            1.0000
orogen-basin-r1a0a6-1ng92xb            1.0000
orogen-basin-r113hd-1tyzvab            1.0000
orogen-basin-r1djr6-ust5pt             1.0000
orogen-basin-r1actu-5ghju0             1.0000
orogen-basin-ro7ep-187220f             1.0000
orogen-basin-r1on6-6vvwl7              1.0000
orogen-basin-rtp5g-ouyusm              1.0000
orogen-basin-r3c87-1vm7hw5             1.0000
orogen-basin-r1fnlt-1tj9yzl            1.0000
orogen-basin-r1ahyz-vl072x             1.0000
orogen-basin-r128mx-73b3i0             1.0000
orogen-basin-r18u4d-1v0heil            1.0000
orogen-basin-r383l-1bvih0n             1.0000
orogen-basin-r1yr5-8ufrib              1.0000
orogen-basin-r6r9e-h5mzwr              1.0000
orogen-basin-rebs0-1dhs7ur             1.0000
orogen-basin-r12274-1eyhv00            1.0000
orogen-basin-r9ux1-1p9vg0s             1.0000
orogen-basin-r2d1i-vct8um              1.0000
orogen-basin-r1rur-1rrxyhs             1.0000
orogen-basin-r1abxi-1q3mevn            1.0000
orogen-basin-r8voq-1khppzf             1.0000
orogen-basin-r1dv4h-1x8estt            1.0000
orogen-basin-rnqh9-1tti1qj             1.0000
orogen-basin-r19nmy-nvi1b3             1.0000
orogen-basin-rgoao-mr18ec              1.0000
orogen-basin-rdsgp-166zj5t             1.0000
orogen-basin-rvzye-1rmcy83             1.0000
orogen-basin-r1bo1l-ag84oo             1.0000
orogen-basin-rmy7g-bz9lrm              1.0000
orogen-basin-r13vqu-qph80x             1.0000
orogen-basin-r138i3-1y1yx0f            1.0000
orogen-basin-rb3nu-1r66wq2             1.0000
orogen-basin-rgagt-1p4upoc             1.0000
orogen-basin-r14vtf-fp0vec             1.0000
orogen-basin-r1ev2y-ss0ona             1.0000
orogen-basin-r7k9l-r2f8wx              1.0000
orogen-basin-r2p6e-74nj3n              1.0000
orogen-basin-r1dqvr-18n15hz            1.0000
orogen-basin-r14y6b-yar93w             1.0000
orogen-basin-r1rga-1t5s0pp             1.0000
orogen-basin-rcvps-18m89j2             1.0000
orogen-basin-ryej7-16bf5yr             1.0000
orogen-basin-r23a5-1njv08n             1.0000
orogen-basin-r1633r-1ih78tu            1.0000
orogen-basin-r3mzg-7ds69m              1.0000
orogen-basin-r7ufl-1sj8nho             1.0000
orogen-basin-r1ffj5-zq8nku             1.0000
orogen-basin-r6vs9-58j3az              1.0000
orogen-basin-reqe9-1lytydw             1.0000
orogen-basin-r1awpj-x6hwg0             1.0000
orogen-basin-r1bcr4-2caf7x             1.0000
orogen-basin-rrb5b-j6834t              1.0000
orogen-basin-rt25x-nqueqt              1.0000
orogen-basin-rtzel-pztbu5              1.0000
orogen-basin-rgiae-a0txme              1.0000
orogen-basin-r13f7o-f0rh98             1.0000
orogen-basin-r4tpq-qo55kn              1.0000
orogen-basin-r14qhm-uq2pq4             1.0000
orogen-basin-r8rcg-1pzrlpp             1.0000
orogen-basin-r1cnye-1s18229            1.0000
orogen-basin-rrla-1s51hq6              1.0000
orogen-basin-r18vmk-1qx44p1            1.0000
orogen-basin-r121or-dxh4ju             1.0000
orogen-basin-r171jr-10n13mn            1.0000
orogen-basin-rtmwy-9fhcqd              1.0000
orogen-basin-r39b8-2mcp7w              1.0000
orogen-basin-rd9l6-8tuy4h              1.0000
orogen-basin-r11hmm-chq61z             1.0000
orogen-basin-r18hlz-3cdxzv             1.0000
orogen-basin-r1bs0j-y6cinu             1.0000
orogen-basin-r7wo9-15lle6t             1.0000
orogen-basin-r4gep-4a8tf5              1.0000
orogen-basin-r1bk7k-3otx2g             1.0000
orogen-basin-ruf0b-1kzpaek             1.0000
orogen-basin-r1a0qx-14sk85q            1.0000
orogen-basin-r1bqpk-7nw4r8             1.0000
orogen-basin-r108n8-hyphfn             1.0000
orogen-basin-re01t-1yyfd5p             1.0000
orogen-basin-r1akzl-by3o1v             1.0000
orogen-basin-r1e2ea-pk7u6x             1.0000
orogen-basin-rpe9m-1t4w3g6             1.0000
orogen-basin-rot8r-zre6wq              1.0000
orogen-basin-rwdq-kd6pjg               1.0000
orogen-basin-r15ejy-5zw9uk             1.0000
orogen-basin-rskcr-6zdryg              1.0000
orogen-basin-r2ffl-9pakc9              1.0000
orogen-basin-roari-vca36m              1.0000
orogen-basin-rr0ui-1ft2hzr             1.0000
orogen-basin-r5zdn-17qm3r              1.0000
orogen-basin-r1brq3-x1nurg             1.0000
orogen-basin-rsi32-162rjzx             1.0000
orogen-basin-r17g6b-eitdx7             1.0000
orogen-basin-rdrm2-807l0c              1.0000
orogen-basin-r6cl8-129eh4s             1.0000
orogen-basin-roupe-wwucxo              1.0000
orogen-basin-rs8uk-15lqasm             1.0000
orogen-basin-rr4th-2d8pww              1.0000
orogen-basin-r6d3r-4oicq6              1.0000
orogen-basin-r11gom-q1y64o             1.0000
orogen-basin-rbdgq-bec32e              1.0000
orogen-basin-r1ghr5-16u2ipm            1.0000
orogen-basin-r16def-1449hdx            1.0000
orogen-basin-rzjcl-13hqg9y             1.0000
orogen-basin-rq5e6-1yvy1ux             1.0000
orogen-basin-r6rpl-ja18dg              1.0000
orogen-basin-r17snv-tc62r              1.0000
orogen-basin-r1adj0-horvko             1.0000
orogen-basin-rs86k-ppcf9h              1.0000
orogen-basin-r1ax3v-zdf63r             1.0000
orogen-basin-r1dd9z-1kuoa7x            1.0000
orogen-basin-rwrqt-1gn1htz             1.0000
orogen-basin-rooug-1giases             1.0000
orogen-basin-rvnmm-15m7suy             1.0000
orogen-basin-r1e6ge-2nrqom             1.0000
orogen-basin-r35up-1fxim2v             1.0000
orogen-basin-rsrmg-1uk3c6a             1.0000
orogen-basin-r1h0ox-1e2czbr            1.0000
orogen-basin-roocx-19wrb89             1.0000
orogen-basin-r13fh3-1b03i97            1.0000
orogen-basin-r18iyl-1xzs3xh            1.0000
orogen-basin-r2vyx-gzg9hp              1.0000
orogen-basin-r1g7om-14s35zm            1.0000
orogen-basin-r17xq3-a3dw80             1.0000
orogen-basin-r6b9u-1cgi2ag             1.0000
orogen-basin-row2k-17i45rt             1.0000
orogen-basin-r1dbzq-12s77f0            1.0000
orogen-basin-r17d6w-hro8s1             1.0000
orogen-basin-r5p78-p4sqkp              1.0000
orogen-basin-r191sr-1o56iqd            1.0000
orogen-basin-r8rgp-u0gztq              1.0000
orogen-basin-rve7b-rz111y              1.0000
orogen-basin-r14cer-1isvhbi            1.0000
orogen-basin-r25av-16zhu4a             1.0000
orogen-basin-r16s3l-tey4xr             1.0000
orogen-basin-r1ds9i-fkd1iw             1.0000
orogen-basin-r1d8dm-sue1bj             1.0000
orogen-basin-rzs96-seo10               1.0000
orogen-basin-r1e9ow-o77cqj             1.0000
orogen-basin-r18mhj-16264ho            1.0000
orogen-basin-r1e6pe-1hx55go            1.0000
orogen-basin-r1b9e2-1n1m84z            1.0000
orogen-basin-r183us-26vnb6             1.0000
orogen-basin-r250u-1i77ptr             1.0000
orogen-basin-rte8h-1fjux32             1.0000
orogen-basin-r1cp3-p8z1yc              1.0000
orogen-basin-r175iw-gzyxa5             1.0000
orogen-basin-r1djjw-1kfa893            1.0000
orogen-basin-r10dj5-181unfu            1.0000
orogen-basin-rrqti-130zbey             1.0000
orogen-basin-ryn0w-1wbq8i4             1.0000
orogen-basin-r1d6yd-py91jn             1.0000
orogen-basin-r18z2g-4iqowz             1.0000
orogen-basin-r2krw-8fbqnr              1.0000
orogen-basin-r1dre5-1fvz97j            1.0000
orogen-basin-rf4pn-10grhd6             1.0000
orogen-basin-r22o9-1pkjoah             1.0000
orogen-basin-rwr9z-15jm1fa             1.0000
orogen-basin-rbl8w-9whfqq              1.0000
orogen-basin-rgetb-1c3xxwi             1.0000
orogen-basin-rnr3q-1fyvprl             1.0000
orogen-basin-r192aw-1u0ndpr            1.0000
orogen-basin-r1gilm-jvvj18             1.0000
orogen-basin-rfy4f-w17mut              1.0000
orogen-basin-r3mil-194qxn5             1.0000
orogen-basin-rdhr8-s0pjob              1.0000
orogen-basin-r15qh3-1vk7w8a            1.0000
orogen-basin-r937h-1rnj6d              1.0000
orogen-basin-r1t1y-a4zpb9              1.0000
