Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
11.2500 85.7606 5.37755 0.414993 0.272580 0.111776 46.871 49.107 1.000000 1.000000 0.161206 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
16.8750 85.7606 5.03813 0.411169 0.258012 0.099635 52.695 54.687 1.000000 1.000000 0.573574 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
22.5000 85.7606 5.09533 0.412105 0.261091 0.101907 53.694 55.732 1.000000 1.000000 0.619497 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
39.3750 85.7606 4.86957 0.409055 0.250052 0.093433 69.709 71.578 1.000000 1.000000 1.000000 0.760077 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
45.0000 85.7606 6.04610 0.422251 0.298587 0.135125 57.910 60.613 1.000000 1.000000 0.789130 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
50.6250 85.7606 5.97761 0.421199 0.295433 0.132489 57.559 60.209 1.000000 1.000000 0.778821 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
56.2500 85.7606 6.21069 0.425474 0.307456 0.142093 52.415 55.257 1.000000 1.000000 0.416124 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
61.8750 85.7606 6.71324 0.433323 0.329831 0.161501 37.422 40.652 1.000000 0.406752 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
67.5000 85.7606 6.13089 0.425790 0.306920 0.140428 43.349 46.157 1.000000 0.787256 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
73.1250 85.7606 6.12050 0.426100 0.307389 0.140456 35.375 38.184 1.000000 0.302723 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
78.7500 85.7606 6.42831 0.429898 0.319347 0.151496 25.990 28.017 0.669168 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
84.3750 85.7606 6.36495 0.429035 0.316758 0.149156 24.176 25.856 0.563265 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
90.0000 85.7606 6.30602 0.428774 0.315428 0.147489 23.375 24.887 0.512656 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
95.6250 85.7606 6.56449 0.430876 0.323074 0.155654 22.204 23.596 0.447052 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
101.2500 85.7606 6.75340 0.432914 0.329480 0.162016 21.362 22.647 0.396443 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
106.8750 85.7606 6.62002 0.432515 0.327074 0.158549 21.103 22.286 0.373013 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
112.5000 85.7606 6.51889 0.431697 0.324158 0.155380 20.755 21.844 0.350520 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
118.1250 85.7606 7.48796 0.441543 0.354431 0.186853 19.854 20.995 0.305535 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
123.7500 85.7606 7.43963 0.441072 0.353046 0.185351 19.600 20.674 0.289602 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
129.3750 85.7606 7.30443 0.439065 0.347737 0.180399 19.276 20.260 0.272733 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
135.0000 85.7606 6.71846 0.433553 0.330359 0.161849 19.269 20.125 0.264298 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
140.6250 85.7606 7.48578 0.442005 0.355345 0.187300 18.980 19.917 0.250240 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
146.2500 85.7606 7.13385 0.438982 0.345898 0.176651 19.179 20.076 0.253989 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
151.8750 85.7606 7.40065 0.441292 0.353138 0.184771 20.105 21.269 0.314907 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
157.5000 85.7606 7.45745 0.440545 0.352145 0.185162 21.911 23.515 0.432994 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
163.1250 85.7606 6.99955 0.435160 0.336774 0.169788 23.320 25.077 0.517342 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
168.7500 85.7606 5.74495 0.419365 0.287954 0.125008 26.131 27.942 0.724463 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
174.3750 85.7606 6.55755 0.430579 0.322388 0.155203 24.351 26.143 0.577323 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
180.0000 85.7606 7.18364 0.440891 0.350283 0.179725 24.586 26.608 0.562328 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-174.3750 85.7606 6.92552 0.439701 0.345239 0.172786 26.088 28.277 0.633555 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-168.7500 85.7606 6.43674 0.433889 0.327599 0.155562 25.396 27.254 0.597004 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-163.1250 85.7606 6.25962 0.430710 0.318729 0.148195 26.181 28.126 0.656048 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-157.5000 85.7606 6.71305 0.436220 0.335736 0.164389 25.214 27.161 0.592318 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-151.8750 85.7606 6.90147 0.438773 0.343072 0.171288 24.618 26.516 0.553893 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-146.2500 85.7606 6.52120 0.435031 0.331009 0.158705 26.049 28.057 0.632618 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-140.6250 85.7606 6.43273 0.435725 0.331355 0.157273 27.395 29.579 0.694473 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-135.0000 85.7606 6.46873 0.434841 0.329968 0.157265 25.721 27.640 0.610125 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-129.3750 85.7606 6.82627 0.438279 0.341244 0.169077 24.286 26.083 0.531400 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-123.7500 85.7606 6.92355 0.440262 0.346380 0.173323 24.411 26.253 0.531400 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-118.1250 85.7606 6.86814 0.440921 0.347170 0.172751 25.356 27.340 0.574511 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-112.5000 85.7606 6.31840 0.435381 0.329185 0.154150 27.610 29.763 0.698222 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-106.8750 85.7606 5.96887 0.426771 0.306461 0.137273 26.752 28.679 0.701970 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
