Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
11.2500 85.7606 0.5931 0.1564 0.2506 0.00000 6.833 1500.0 12.0 0.0000 0.2105 23.56 0.0628 0.0000 0.0000
16.8750 85.7606 0.6255 0.1354 0.2390 0.00000 6.668 1500.0 12.0 0.0000 0.2545 27.79 0.0628 0.0000 0.0000
22.5000 85.7606 0.6180 0.1389 0.2431 0.00000 6.645 1500.0 12.0 0.0000 0.2594 28.52 0.0628 0.0000 0.0000
39.3750 85.7606 0.6431 0.1250 0.2319 0.00000 6.689 1500.0 12.0 0.0000 0.3744 40.30 0.0628 0.0000 0.0000
45.0000 85.7606 0.5312 0.1978 0.2710 0.00000 7.388 1500.0 12.0 0.0000 0.2775 32.49 0.0628 0.0000 0.0000
50.6250 85.7606 0.5397 0.1936 0.2666 0.00000 7.296 1500.0 12.0 0.0000 0.2764 32.14 0.0628 0.0000 0.0000
56.2500 85.7606 0.5059 0.2078 0.2863 0.00000 7.546 1500.0 12.0 0.0000 0.2377 28.45 0.0628 0.0000 0.0000
61.8750 85.7606 0.4426 0.2386 0.3188 0.00000 7.780 1500.0 12.0 0.0000 0.1367 17.19 0.0628 0.0000 0.0000
67.5000 85.7606 0.5050 0.2027 0.2923 0.00000 7.365 1500.0 12.0 0.0000 0.1773 21.31 0.0628 0.0000 0.0000
73.1250 85.7606 0.5030 0.2020 0.2950 0.00000 7.122 1500.0 12.0 0.0000 0.1256 15.14 0.0628 0.0000 0.0000
78.7500 85.7606 0.4713 0.2210 0.3077 0.00000 7.088 1500.0 12.0 0.0000 0.0647 10.00 0.0628 0.0000 0.0000
84.3750 85.7606 0.4784 0.2171 0.3045 0.00000 6.971 1500.0 12.0 0.0000 0.0534 10.00 0.0628 0.0000 0.0000
90.0000 85.7606 0.4812 0.2134 0.3054 0.00000 6.932 1500.0 12.0 0.0000 0.0480 10.00 0.0628 0.0000 0.0000
95.6250 85.7606 0.4622 0.2295 0.3083 0.00000 7.101 1500.0 12.0 0.0000 0.0410 10.00 0.0628 0.0000 0.0000
101.2500 85.7606 0.4448 0.2412 0.3141 0.00000 7.297 1500.0 12.0 0.0000 0.0356 10.00 0.0628 0.0000 0.0000
106.8750 85.7606 0.4498 0.2328 0.3174 0.00000 7.261 1500.0 12.0 0.0000 0.0331 10.00 0.0628 0.0000 0.0000
112.5000 85.7606 0.4572 0.2265 0.3164 0.00000 7.177 1500.0 12.0 0.0000 0.0307 10.00 0.0628 0.0000 0.0000
118.1250 85.7606 0.3722 0.2866 0.3411 0.00000 8.077 1500.0 12.0 0.0000 0.0259 10.00 0.0628 0.0000 0.0000
123.7500 85.7606 0.3763 0.2836 0.3401 0.00000 8.053 1500.0 12.0 0.0000 0.0242 10.00 0.0628 0.0000 0.0000
129.3750 85.7606 0.3926 0.2753 0.3321 0.00000 7.913 1500.0 12.0 0.0000 0.0224 10.00 0.0628 0.0000 0.0000
135.0000 85.7606 0.4409 0.2389 0.3202 0.00000 7.435 1500.0 12.0 0.0000 0.0215 10.00 0.0628 0.0000 0.0000
140.6250 85.7606 0.3690 0.2864 0.3445 0.00000 8.210 1500.0 12.0 0.0000 0.0200 10.00 0.0628 0.0000 0.0000
146.2500 85.7606 0.3960 0.2645 0.3396 0.00000 7.973 1500.0 12.0 0.0000 0.0204 10.00 0.0628 0.0000 0.0000
151.8750 85.7606 0.3754 0.2811 0.3435 0.00000 8.318 1500.0 12.0 0.0000 0.0269 10.00 0.0628 0.0000 0.0000
157.5000 85.7606 0.3797 0.2848 0.3355 0.00000 8.538 1500.0 12.0 0.0000 0.0395 10.00 0.0628 0.0000 0.0000
163.1250 85.7606 0.4250 0.2565 0.3184 0.00000 8.297 1500.0 12.0 0.0000 0.0485 10.00 0.0628 0.0000 0.0000
168.7500 85.7606 0.5564 0.1791 0.2645 0.00000 7.443 1500.0 12.0 0.0000 0.0706 10.00 0.0628 0.0000 0.0000
174.3750 85.7606 0.4644 0.2291 0.3066 0.00000 7.987 1500.0 12.0 0.0000 0.0549 10.00 0.0628 0.0000 0.0000
180.0000 85.7606 0.3818 0.2674 0.3509 0.00000 7.895 1500.0 12.0 0.0000 0.0533 10.00 0.0628 0.0000 0.0000
-174.3750 85.7606 0.3944 0.2512 0.3544 0.00000 7.419 1500.0 12.0 0.0000 0.0609 10.00 0.0628 0.0000 0.0000
-168.7500 85.7606 0.4432 0.2210 0.3358 0.00000 7.497 1499.9 12.0 0.0000 0.0570 10.00 0.0628 0.0001 0.0007
-163.1250 85.7606 0.4684 0.2102 0.3214 0.00000 7.270 1500.0 12.0 0.0000 0.0633 10.00 0.0628 0.0000 0.0001
-157.5000 85.7606 0.4223 0.2382 0.3395 0.00000 7.476 1500.0 12.0 0.0000 0.0565 10.00 0.0628 0.0000 0.0001
-151.8750 85.7606 0.4013 0.2498 0.3489 0.00000 7.522 1500.0 12.0 0.0000 0.0524 10.00 0.0628 0.0000 0.0003
