Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
11.2500 85.7606 5.37755 0.414993 0.272580 0.111776 46.645 48.881 1.000000 1.000000 0.147148 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
16.8750 85.7606 5.03813 0.411169 0.258012 0.099635 52.368 54.361 1.000000 1.000000 0.552956 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
22.5000 85.7606 5.09533 0.412105 0.261091 0.101907 53.306 55.344 1.000000 1.000000 0.595130 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
39.3750 85.7606 4.86957 0.409055 0.250052 0.093433 68.696 70.565 1.000000 1.000000 1.000000 0.695410 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
45.0000 85.7606 6.04610 0.422251 0.298587 0.135125 57.037 59.739 1.000000 1.000000 0.735710 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
50.6250 85.7606 5.97761 0.421199 0.295433 0.132489 56.658 59.308 1.000000 1.000000 0.723526 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
56.2500 85.7606 6.21069 0.425474 0.307456 0.142093 51.625 54.467 1.000000 1.000000 0.368327 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
61.8750 85.7606 6.71324 0.433323 0.329831 0.161501 36.996 40.226 1.000000 0.381448 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
67.5000 85.7606 6.13089 0.425790 0.306920 0.140428 42.896 45.705 1.000000 0.760077 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
73.1250 85.7606 6.12050 0.426100 0.307389 0.140456 35.109 37.918 1.000000 0.286791 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
