Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
11.2500 85.7606 0.5931 0.1564 0.2506 0.00000 6.833 1500.0 12.0 0.0000 0.2090 23.40 0.0628 0.0000 0.0000
16.8750 85.7606 0.6255 0.1354 0.2390 0.00000 6.668 1500.0 12.0 0.0000 0.2523 27.56 0.0628 0.0000 0.0000
22.5000 85.7606 0.6180 0.1389 0.2431 0.00000 6.645 1500.0 12.0 0.0000 0.2568 28.23 0.0628 0.0000 0.0000
39.3750 85.7606 0.6431 0.1250 0.2319 0.00000 6.684 1500.0 12.0 0.0000 0.3675 39.56 0.0628 0.0000 0.0000
45.0000 85.7606 0.5312 0.1978 0.2710 0.00000 7.382 1500.0 12.0 0.0000 0.2718 31.82 0.0628 0.0000 0.0000
50.6250 85.7606 0.5397 0.1936 0.2666 0.00000 7.288 1500.0 12.0 0.0000 0.2705 31.45 0.0628 0.0000 0.0000
56.2500 85.7606 0.5059 0.2078 0.2863 0.00000 7.538 1500.0 12.0 0.0000 0.2326 27.84 0.0628 0.0000 0.0000
61.8750 85.7606 0.4426 0.2386 0.3188 0.00000 7.771 1500.0 12.0 0.0000 0.1340 16.85 0.0628 0.0000 0.0000
67.5000 85.7606 0.5050 0.2027 0.2923 0.00000 7.357 1500.0 12.0 0.0000 0.1744 20.95 0.0628 0.0000 0.0000
73.1250 85.7606 0.5030 0.2020 0.2950 0.00000 7.115 1500.0 12.0 0.0000 0.1239 14.93 0.0628 0.0000 0.0000
78.7500 85.7606 0.4713 0.2210 0.3077 0.00000 7.082 1500.0 12.0 0.0000 0.0650 10.00 0.0628 0.0000 0.0000
84.3750 85.7606 0.4784 0.2171 0.3045 0.00000 6.966 1500.0 12.0 0.0000 0.0538 10.00 0.0628 0.0000 0.0000
90.0000 85.7606 0.4812 0.2134 0.3054 0.00000 6.929 1500.0 12.0 0.0000 0.0483 10.00 0.0628 0.0000 0.0000
