Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation cec allophane polyvalent
0.0000 85.7606 0.6149 0.1393 0.2458 0.00000 5.210 1500.0 12.0 0.0000 0.1273 14.04 0.0628 0.0000 0.0000 7.301 0.00000 2.700
5.6250 85.7606 0.6174 0.1379 0.2447 0.00000 5.220 1500.0 12.0 0.0000 0.1408 15.50 0.0628 0.0000 0.0000 7.234 0.00000 2.727
11.2500 85.7606 0.5931 0.1564 0.2506 0.00000 7.584 1500.0 12.0 0.0000 0.2042 22.86 0.0628 0.0000 0.0000 9.831 0.00000 5.800
16.8750 85.7606 0.6255 0.1354 0.2390 0.00000 7.499 1500.0 12.0 0.0000 0.2485 27.14 0.0628 0.0000 0.0000 8.464 0.00000 4.994
22.5000 85.7606 0.6180 0.1389 0.2431 0.00000 7.568 1500.0 12.0 0.0000 0.2539 27.91 0.0628 0.0000 0.0000 8.725 0.00000 5.148
28.1250 85.7606 0.5505 0.1755 0.2739 0.00000 5.528 1500.0 12.0 0.0000 0.1406 16.33 0.0628 0.0000 0.0000 9.448 0.00000 5.574
33.7500 85.7606 0.6273 0.1338 0.2388 0.00000 5.328 1500.0 12.0 0.0000 0.2436 26.57 0.0628 0.0000 0.0000 7.084 0.00000 3.252
39.3750 85.7606 0.6431 0.1250 0.2319 0.00000 7.917 1500.0 12.0 0.0000 0.3729 40.14 0.0628 0.0000 0.0000 8.044 0.00000 4.746
45.0000 85.7606 0.5312 0.1978 0.2710 0.00000 8.106 1500.0 12.0 0.0000 0.2764 32.37 0.0628 0.0000 0.0000 12.893 0.00000 7.607
50.6250 85.7606 0.5402 0.1934 0.2665 0.00000 8.154 1500.0 12.0 0.0000 0.2775 32.26 0.0628 0.0000 0.0000 12.641 0.00000 7.458
56.2500 85.7606 0.5059 0.2078 0.2863 0.00000 8.116 1500.0 12.0 0.0000 0.2381 28.50 0.0628 0.0000 0.0000 13.549 0.00000 7.994
61.8750 85.7606 0.4426 0.2386 0.3188 0.00000 8.036 1500.0 12.0 0.0000 0.1368 17.20 0.0628 0.0000 0.0000 15.475 0.00000 9.130
67.5000 85.7606 0.5050 0.2027 0.2923 0.00000 8.105 1500.0 12.0 0.0000 0.1782 21.42 0.0628 0.0000 0.0000 13.207 0.00000 7.792
73.1250 85.7606 0.5030 0.2020 0.2950 0.00000 8.112 1500.0 12.0 0.0000 0.1264 15.23 0.0628 0.0000 0.0000 13.171 0.00000 7.771
78.7500 85.7606 0.4713 0.2210 0.3077 0.00000 8.072 1500.0 12.0 0.0000 0.0661 10.00 0.0628 0.0000 0.0000 14.372 0.00000 8.479
84.3750 85.7606 0.4784 0.2171 0.3045 0.00000 8.091 1500.0 12.0 0.0000 0.0547 10.00 0.0628 0.0000 0.0000 14.135 0.00000 8.340
90.0000 85.7606 0.4812 0.2134 0.3054 0.00000 8.100 1500.0 12.0 0.0000 0.0492 10.00 0.0628 0.0000 0.0000 13.902 0.00000 8.202
95.6250 85.7606 0.4622 0.2295 0.3083 0.00000 8.134 1500.0 12.0 0.0000 0.0420 10.00 0.0628 0.0000 0.0000 14.982 0.00000 8.839
101.2500 85.7606 0.4447 0.2412 0.3141 0.00000 8.131 1500.0 12.0 0.0000 0.0364 10.00 0.0628 0.0000 0.0000 15.745 0.00000 9.289
106.8750 85.7606 0.4498 0.2328 0.3174 0.00000 8.112 1500.0 12.0 0.0000 0.0339 10.00 0.0628 0.0000 0.0000 15.175 0.00000 8.953
112.5000 85.7606 0.4572 0.2265 0.3164 0.00000 8.105 1500.0 12.0 0.0000 0.0315 10.00 0.0628 0.0000 0.0000 14.756 0.00000 8.706
118.1250 85.7606 0.3722 0.2866 0.3411 0.00000 8.099 1500.0 12.0 0.0000 0.0262 10.00 0.0628 0.0000 0.0000 18.671 0.00000 11.016
123.7500 85.7606 0.3763 0.2836 0.3401 0.00000 8.079 1500.0 12.0 0.0000 0.0245 10.00 0.0628 0.0000 0.0000 18.449 0.00000 10.885
129.3750 85.7606 0.3926 0.2753 0.3321 0.00000 8.040 1500.0 12.0 0.0000 0.0226 10.00 0.0628 0.0000 0.0000 17.861 0.00000 10.538
135.0000 85.7606 0.4409 0.2389 0.3202 0.00000 7.906 1500.0 12.0 0.0000 0.0216 10.00 0.0628 0.0000 0.0000 15.360 0.00000 9.062
140.6250 85.7606 0.3690 0.2865 0.3445 0.00000 7.832 1500.0 12.0 0.0000 0.0200 10.00 0.0628 0.0000 0.0000 18.323 0.00000 10.810
146.2500 85.7606 0.3959 0.2645 0.3396 0.00000 7.590 1500.0 12.0 0.0000 0.0204 10.00 0.0628 0.0000 0.0000 16.636 0.00000 9.815
151.8750 85.7606 0.3754 0.2812 0.3435 0.00000 7.572 1500.0 12.0 0.0000 0.0268 10.00 0.0628 0.0000 0.0000 17.661 0.00000 10.420
