Lon Lat b theta_s theta_fc theta_wp awc_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
11.2500 85.7606 5.89599 0.417667 0.287195 0.127372 192.461 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.458033 0.194700 0.194700 0.194700
16.8750 85.7606 5.54223 0.413777 0.273391 0.115118 217.158 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.532346 0.188100
22.5000 85.7606 5.56749 0.414531 0.275321 0.116387 212.166 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.983656 0.182800 0.182800
39.3750 85.7606 5.64561 0.415660 0.278945 0.119332 239.420 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
45.0000 85.7606 6.41432 0.424023 0.307480 0.145629 190.074 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.278455 0.155100 0.155100 0.155100
50.6250 85.7606 6.30290 0.422816 0.303542 0.141878 188.140 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.205632 0.144000 0.144000 0.144000
56.2500 85.7606 6.52001 0.426999 0.314764 0.150896 176.915 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.228568 0.141900 0.141900 0.141900 0.141900
61.8750 85.7606 7.01468 0.434853 0.336321 0.169810 150.110 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.177458 0.139600 0.139600 0.139600 0.139600 0.139600 0.139600
67.5000 85.7606 6.42472 0.427452 0.314393 0.149084 161.959 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.993937 0.133900 0.133900 0.133900 0.133900 0.133900 0.133900
73.1250 85.7606 6.36464 0.427394 0.313461 0.147598 147.709 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.987835 0.131100 0.131100 0.131100 0.131100 0.131100 0.131100 0.131100
78.7500 85.7606 6.92022 0.434205 0.333986 0.167066 130.103 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.764749 0.128700 0.128700 0.128700 0.128700 0.128700 0.128700 0.128700 0.128700
84.3750 85.7606 6.98352 0.435040 0.336360 0.169313 116.535 1.000000 1.000000 1.000000 1.000000 1.000000 0.834965 0.126800 0.126800 0.126800 0.126800 0.126800 0.126800 0.126800 0.126800 0.126800
90.0000 85.7606 7.16403 0.437583 0.343370 0.175857 103.909 1.000000 1.000000 1.000000 1.000000 0.944058 0.125900 0.125900 0.125900 0.125900 0.125900 0.125900 0.125900 0.125900 0.125900 0.125900
