Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac
0.0000 87.8638 0.5169 0.1931 0.2900 0.00000 6.762 1500.0 12.0 0.0000 0.3053 36.42 0.0628
2.8125 87.8638 0.5082 0.1974 0.2944 0.00000 6.780 1500.0 12.0 0.0000 0.3071 36.89 0.0628
5.6250 87.8638 0.4982 0.2024 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.3087 37.37 0.0628
8.4375 87.8638 0.5157 0.1937 0.2906 0.00000 6.765 1500.0 12.0 0.0000 0.3468 41.41 0.0628
11.2500 87.8638 0.5071 0.1980 0.2950 0.00000 6.782 1500.0 12.0 0.0000 0.3515 42.26 0.0628
14.0625 87.8638 0.5240 0.1895 0.2865 0.00000 6.748 1500.0 12.0 0.0000 0.3967 47.06 0.0628
16.8750 87.8638 0.4961 0.2052 0.2986 0.00000 6.964 1500.0 12.0 0.0000 0.3966 48.04 0.0628
19.6875 87.8638 0.4709 0.2188 0.3103 0.00000 7.105 1500.0 12.0 0.0000 0.3931 48.54 0.0628
22.5000 87.8638 0.5313 0.1859 0.2828 0.00000 6.733 1500.0 12.0 0.0000 0.4873 57.47 0.0628
25.3125 87.8638 0.4872 0.2105 0.3023 0.00000 7.056 1500.0 12.0 0.0000 0.4740 57.80 0.0628
28.1250 87.8638 0.4203 0.2493 0.3304 0.00000 7.672 1500.0 12.0 0.0000 0.4679 59.85 0.0628
36.5625 87.8638 0.4503 0.2312 0.3185 0.00000 7.336 1500.0 12.0 0.0000 0.6198 77.64 0.0628
39.3750 87.8638 0.4044 0.2589 0.3368 0.00000 7.851 1500.0 12.0 0.0000 0.6733 87.06 0.0628
42.1875 87.8638 0.3698 0.2898 0.3404 0.00000 8.158 1500.0 12.0 0.0000 0.7249 95.43 0.0628
47.8125 87.8638 0.4539 0.2291 0.3171 0.00000 7.296 1500.0 12.0 0.0000 0.8394 104.89 0.0628
50.6250 87.8638 0.4104 0.2647 0.3249 0.00000 7.708 1500.0 12.0 0.0000 0.8048 103.11 0.0628
53.4375 87.8638 0.4407 0.2370 0.3223 0.00000 7.444 1500.0 12.0 0.0000 0.8427 106.28 0.0628
56.2500 87.8638 0.4381 0.2427 0.3191 0.00000 7.439 1500.0 12.0 0.0000 0.8247 103.96 0.0628
