Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac
0.0000 87.8638 0.5169 0.1931 0.2900 0.00000 6.745 1500.0 12.0 0.0000 0.3395 40.49 0.0628
2.8125 87.8638 0.5082 0.1974 0.2944 0.00000 6.762 1500.0 12.0 0.0000 0.3412 40.98 0.0628
5.6250 87.8638 0.4982 0.2024 0.2994 0.00000 6.782 1500.0 12.0 0.0000 0.3435 41.59 0.0628
8.4375 87.8638 0.5157 0.1937 0.2906 0.00000 6.747 1500.0 12.0 0.0000 0.3868 46.18 0.0628
11.2500 87.8638 0.5071 0.1980 0.2950 0.00000 6.765 1500.0 12.0 0.0000 0.3919 47.12 0.0628
14.0625 87.8638 0.5240 0.1895 0.2865 0.00000 6.731 1500.0 12.0 0.0000 0.4437 52.63 0.0628
16.8750 87.8638 0.4961 0.2052 0.2986 0.00000 6.947 1500.0 12.0 0.0000 0.4443 53.82 0.0628
19.6875 87.8638 0.4709 0.2188 0.3103 0.00000 7.089 1500.0 12.0 0.0000 0.4415 54.50 0.0628
22.5000 87.8638 0.5313 0.1859 0.2828 0.00000 6.717 1500.0 12.0 0.0000 0.5485 64.68 0.0628
25.3125 87.8638 0.4872 0.2105 0.3023 0.00000 7.040 1500.0 12.0 0.0000 0.5350 65.23 0.0628
28.1250 87.8638 0.4203 0.2493 0.3304 0.00000 7.656 1500.0 12.0 0.0000 0.5284 67.59 0.0628
36.5625 87.8638 0.4503 0.2312 0.3185 0.00000 7.322 1500.0 12.0 0.0000 0.7086 88.77 0.0628
39.3750 87.8638 0.4044 0.2589 0.3368 0.00000 7.837 1500.0 12.0 0.0000 0.7725 99.90 0.0628
42.1875 87.8638 0.3698 0.2898 0.3404 0.00000 8.144 1500.0 12.0 0.0000 0.8334 109.72 0.0628
47.8125 87.8638 0.4539 0.2291 0.3171 0.00000 7.282 1500.0 12.0 0.0000 0.9668 120.81 0.0628
50.6250 87.8638 0.4104 0.2647 0.3249 0.00000 7.694 1500.0 12.0 0.0000 0.9264 118.69 0.0628
53.4375 87.8638 0.4407 0.2370 0.3223 0.00000 7.430 1500.0 12.0 0.0000 0.9737 122.80 0.0628
56.2500 87.8638 0.4381 0.2427 0.3191 0.00000 7.426 1500.0 12.0 0.0000 0.9546 120.33 0.0628
59.0625 87.8638 0.3845 0.2708 0.3446 0.00000 8.061 1500.0 12.0 0.0000 0.9244 121.14 0.0628
61.8750 87.8638 0.4280 0.2471 0.3249 0.00000 7.789 1500.0 12.0 0.0000 0.9919 126.04 0.0628
64.6875 87.8638 0.3541 0.2911 0.3548 0.00000 8.568 1500.0 12.0 0.0000 0.9035 120.69 0.0628
67.5000 87.8638 0.3462 0.2972 0.3567 0.00000 8.770 1500.0 12.0 0.0000 0.8937 119.93 0.0628
70.3125 87.8638 0.3936 0.2672 0.3392 0.00000 8.121 1500.0 12.0 0.0000 0.8425 109.63 0.0628
73.1250 87.8638 0.3900 0.2693 0.3407 0.00000 8.156 1500.0 12.0 0.0000 0.7939 103.57 0.0628
75.9375 87.8638 0.3665 0.2830 0.3506 0.00000 8.371 1500.0 12.0 0.0000 0.7235 95.90 0.0628
