Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac
0.0000 87.8638 0.5106 0.2012 0.2883 0.00000 6.711 1500.0 12.0 0.0000 0.5118 61.18 0.0810
2.8125 87.8638 0.5022 0.2051 0.2927 0.00000 6.732 1500.0 12.0 0.0000 0.6033 72.61 0.0797
5.6250 87.8638 0.4931 0.2090 0.2979 0.00000 6.759 1500.0 12.0 0.0000 0.5704 69.18 0.0767
8.4375 87.8638 0.5109 0.1998 0.2893 0.00000 6.727 1500.0 12.0 0.0000 0.6196 74.10 0.0753
11.2500 87.8638 0.5028 0.2035 0.2937 0.00000 6.749 1500.0 12.0 0.0000 0.5967 71.84 0.0733
14.0625 87.8638 0.5201 0.1945 0.2854 0.00000 6.718 1500.0 12.0 0.0000 0.6459 76.71 0.0719
16.8750 87.8638 0.5103 0.1989 0.2908 0.00000 6.744 1500.0 12.0 0.0000 0.5981 71.61 0.0692
19.6875 87.8638 0.5069 0.2003 0.2928 0.00000 6.753 1500.0 12.0 0.0000 0.5985 71.86 0.0681
22.5000 87.8638 0.5287 0.1892 0.2821 0.00000 6.713 1500.0 12.0 0.0000 0.6643 78.41 0.0669
25.3125 87.8638 0.5209 0.1930 0.2861 0.00000 6.729 1500.0 12.0 0.0000 0.6758 80.27 0.0666
28.1250 87.8638 0.5109 0.1972 0.2919 0.00000 6.762 1500.0 12.0 0.0000 0.5897 70.64 0.0628
36.5625 87.8638 0.4967 0.2043 0.2990 0.00000 6.796 1500.0 12.0 0.0000 0.7578 91.79 0.0628
39.3750 87.8638 0.5154 0.1950 0.2896 0.00000 6.762 1500.0 12.0 0.0000 0.9331 111.37 0.0628
42.1875 87.8638 0.4911 0.2053 0.3036 0.00000 6.774 1500.0 12.0 0.0000 1.0253 124.87 0.0628
47.8125 87.8638 0.5183 0.1935 0.2882 0.00000 6.756 1500.0 12.0 0.0000 0.9575 114.01 0.0628
50.6250 87.8638 0.5060 0.1994 0.2946 0.00000 6.775 1500.0 12.0 0.0000 0.9292 111.75 0.0628
